fen,evaluation
rnbqkbnr/1p1ppppp/2p5/p7/8/N3P2P/PPPP1PP1/R1BQKBNR,-36
1rbq1b1r/1ppppkp1/p4n2/5p1p/7P/5N1R/P1NPPPP1/R1BQKB2,358
r1bq1bnr/p1p1pk1p/np3pp1/3p4/5N2/P2P4/1PP1PPPP/RNBQKB1R,43
rnbqkbnr/ppp4p/3p2p1/4pp2/1P6/2P1PPPN/P2P3P/RNBQKB1R,-3
r1bqkbnr/p2p1pp1/n3p2p/1pp5/5P2/3PP1P1/PPPBK2P/RN1Q1BNR,-118
r1bq1bnr/p2pp3/4k2p/npp2pB1/P1P3P1/3P3B/1P1NPP1P/R1Q2KNR,375
r1q1kb1r/1ppbp1pp/2np1p2/p4P2/3PP1n1/N1P2Q1N/PP4PP/R1B1KBR1,227
rnbqkbnr/1ppp3p/8/p3ppp1/P2P1PP1/7P/1PPKPB2/RN1Q1BNR,-49
rnbqkbnr/2pp1ppp/1p6/p3p3/1P6/B7/P1PPPPPP/RN1QKBNR,-115
rnbqkbnr/2pppppp/p7/1p6/P2P4/5P2/1PP1P1PP/RNBQKBNR,35
r1bqkb1r/p1pppppp/n7/1p6/6n1/P4PP1/1PPPPK1P/RNBQ1BNR,339
rnbqkbn1/p1pppp1Q/8/1p4pp/P7/4P3/1PPP1PPP/RNBK1BNR,411
1nbqkbnr/1ppp4/2r2ppp/p2Pp1B1/6P1/NQ5N/PPP1PP1P/R3KB1R,-382
rnbqkb1r/1ppp1ppp/p6n/4p3/4P1Q1/P7/1PPP1PPP/RNB1KBNR,21
rn1qk1nr/p1p2ppp/8/P1bpp3/1pPP3P/3QP2b/1P3PPN/RNB1KB1R,306
rnb1kbnr/pp1ppppp/8/2p5/6PP/q7/PPPPPP2/RNBQKBNR,685
1nbqkbnr/rpp3pp/p4p2/P2pp3/8/2N3P1/1PPPPP1P/1RBQKBNR,-44
rnbqk2r/1pp1ppbp/p6n/3p2p1/8/P4PPN/1PPPP2P/RNBQKB1R,-85
r1bqkbnr/ppppp1pp/2n5/5p2/1P6/4P3/PBPP1PPP/RN1QKBNR,-16
rn1qkbn1/p1pbpppr/3p3p/1p6/3NP3/2N5/PPPP1PPP/R1BQKB1R,226
3q1bnr/p1pnp1p1/br1p2kp/1p1P1p2/1P3P2/N3P3/P1PB1KPP/R2Q1BNR,133
2bqk1nr/rppp1p2/n2b3p/4p1p1/pP2P3/B1PQ3N/P2P1PPP/RN2KB1R,101
r1bq1knr/p1p2ppp/3ppb2/1p1Q1P2/PP1n4/4P2P/2PP2P1/RNB1KBNR,-849
rnb1k2r/p2pbppp/4pn2/qpp5/1P2P3/N2B4/P1PP1PPP/R1BQK1NR,596
rnb1kbnr/pp1p1pp1/2p1pq1p/8/8/1PPP1N1P/P3PPP1/RNBQKB1R,2
rnbq1bnr/pp1pk1p1/4pp2/2p4p/P2P4/2P1P2N/1P3PPP/RNBQKB1R,254
1nbqkbnr/rppppppp/8/p7/8/N7/PPPPPPPP/R1BQKBNR,-11
rnb2b1r/3pkppp/p3p2n/1pp5/P2P1PP1/4P1qB/1PP4P/RNB1QKNR,722
rnbqkb1r/3ppp1n/p7/1Bp3pp/1P2P1P1/2N2P2/P1PP3P/R1BQK1NR,29
rnbqkbn1/pp1p1pp1/7r/2p1p2p/3P4/2N2P2/PPPKP1PP/R1B1QBNR,-470
r1b1kbnN/pp1pp1pp/n7/2p5/5P1P/N7/P1PPP1P1/R1BQKB1R,883
rnbqkbr1/1p2np1p/p1pp2p1/3p4/P5P1/5P2/1PPPP2P/RNBQ1KNR,-652
rnbk1b1r/p2pqppp/1pp5/4p3/PP1Pn2P/2P5/4PPP1/RNB1KBNR,-719
rnbqkbnr/1ppp4/4pppp/p4P1P/8/2P3PB/PP1PP3/RNBQK1NR,180
rnb1kb1r/pp1p1pp1/4pq1p/1Np5/P4Pn1/1P1PP1PP/2P1N3/R1BQKB1R,41
r1bqkb1r/ppppppnp/6p1/8/P4P2/7P/1PnPPKP1/RNBQ1BNR,306
rnbqk2r/pp2ppbp/5n2/3p2p1/P1pP4/4P2N/RPP1BPPP/1NBQK1R1,-143
rnbqkb1r/ppppp1pp/8/5p2/3P1Bn1/P5P1/1PP1PP1P/RN1QKBNR,74
rnbqkbnr/p1ppppp1/7p/1p6/6P1/BP6/P1PPPP1P/RN1QKBNR,-94
rn2kbnr/1bqppp1p/pp6/PP4p1/2p5/3PP3/R1P2PPP/1NBQKBNR,138
r1bqkbnr/2pppp2/p7/1p4pp/Pn6/3P1NP1/RBP1PP1P/1N1QKB1R,72
rnbqkbnr/p2ppppp/2p5/1p6/1P6/7P/PBPPPPP1/RN1QKBNR,-41
rnbqkbnr/ppp4p/3ppp2/8/6p1/PP1PP1PN/2P2P1P/RNBQKB1R,-337
rn2kbnr/p1p1ppp1/1p1q4/3p3p/4b3/1PP5/P2PQPPP/RNB1KBNR,-262
rnbqkb1r/p1p1ppp1/1p5n/3p2Np/8/P2P4/1PPKPPPP/RNBQ1B1R,-121
r1bqkb1r/ppppp1pp/8/2n2p2/N4Pn1/7B/PPQPP2P/R1B1K1NR,133
r2qkbnr/ppp1pppp/2n5/8/PP1p2b1/N2PPN2/2P2PP1/R1BQKB1R,-163
r1b1kb1r/1p1pppp1/p4q1n/2p4B/1PnP4/2N3P1/P1P1PP1P/R1BQ1KNR,277
1rbqkbnr/p1pppppp/1p6/2n5/8/PP4PP/2PPPPB1/RNBQK1NR,45
rnbqkb1r/pp2pppp/2p2n2/3p4/8/NP4P1/P1PPPP1P/R1BQKBNR,-50
rnbqkbnr/pp3ppp/2p1p3/3p4/3P1PP1/8/PPP1P2P/RNBQKBNR,-47
rnbq2r1/p1ppkppp/5n2/1Nb1p3/4P3/2P3P1/PP1P1P1P/RNBQKB1R,137
r1bqkbnr/ppppp1pp/2n2p2/8/8/N4P1P/PPPPP1P1/R1BQKBNR,-123
rn1qkbnr/ppp1pp1b/8/3p2pp/6PP/1P2KP2/P1PPP3/RNBQ1BNR,-384
1rb2bnr/1p1kpppp/pq1p4/2pPn1B1/3Q1P2/1P6/P1P1P1PP/RN2KBNR,334
rnb1kb1r/p1ppq3/4p1pn/1p3p1P/1P6/N3P3/P1PPNPBP/R1BQ1K1R,180
rn1q1b1r/1p1kppp1/p2pb3/2p4p/1P1P4/B1N5/P1P1P1PP/RN1QKBRn,280
rnbqkb1r/pppp1ppp/4p3/7n/2P5/3P1P2/PP2P1PP/RNBQKBNR,-40
rn1qkbnr/p1pbppp1/7p/PN1p4/8/3P1N2/1PP1PPPP/R1BQKB1R,-320
rn1qkbnr/p1pp1pp1/bp6/4p2p/8/P2P4/1PPKPPPP/RNBQ1BNR,-51
rnbq2nr/p2ppk1p/1pp3pb/8/4p2P/1PN2N2/P1PP1PP1/R1BK1B1R,-786
r1b3nr/ppp1kp1p/2nqp2b/3p2p1/2P1P3/P2P3N/1P2BPPP/RNBQK2R,-17
rn2kbnr/2pqp1p1/bp1p3p/p4p2/3PP2P/4BN2/PPP1KPP1/RN2QB1R,-14
rn1qk1nr/p1p2p1p/bp1pp3/8/1bP3p1/4PP1P/P2P2P1/RNBQKBNR,194
rnbqkb1r/1pppp2p/5p1n/p5p1/1P2P3/P2P4/2P1BPPP/RNBQK1NR,46
rnb1kb1r/1ppp1p1p/p5p1/2N5/P1P3nq/1Q2P3/1P1P1PPP/RNB1KB1R,224
rn1qkb1r/pppb1p1p/6pn/3pp3/Q2PPP2/2P5/PP4PP/RNB1KBNR,-89
rn1qkbnr/1bpp3p/5p2/pp2p1p1/P7/1PPP2P1/4PP1P/RNBQKBNR,-311
rnbqkbnr/pp1ppppp/8/2p5/5P2/2P3P1/PP1PP2P/RNBQKBNR,29
rnb1k2r/pp3ppp/1B1pp3/7n/4P2q/bP3PPP/P1PPB3/RN1QK1NR,572
rnb1kbnr/pp1p1p2/4p3/qB4pp/1Q1pP1P1/P1P4P/1P1B1P2/RN2K1NR,-713
rn1q1bnr/pbpp1k1p/1p6/3Pppp1/P6P/5P2/1PP1PKPR/RNBQ1BN1,-156
r1bqkb1r/3p1pp1/p1p4p/1pP1p2n/1B2P1PP/8/P2P1P2/RN1QKBNR,417
rnbq1bnr/2pkp2p/1p6/p2P1ppB/P2N4/8/RPPP1PPP/1NBQK2R,608
r1b1k1r1/ppppnppp/7n/2b1p1q1/8/QPP1P3/P2PNPPP/RNB1KB1R,-545
rnbqkbnr/pp5p/4pp2/2pp2p1/7P/1P1P1PP1/P1P1PKR1/RNBQ1BN1,-192
rnbqkb1r/1ppp1ppp/7n/p3p3/6P1/NPP5/P2PPP1P/R1BQKBNR,-249
1rbqkbnr/p1p1ppp1/n6p/1p1p4/2B5/4P3/PPPP1PPP/RNB1QKNR,-694
r1bqkb2/p1pppppr/nP5p/8/4P3/2nPBN1P/PP3PP1/RN1QKB1R,-488
rnbqkbnr/pp1pppp1/8/2p4p/8/PP6/R1PPPPPP/1NBQKBNR,-68
rnbqkbnr/p3p2p/1pp5/3p2p1/QPP2pPP/N2P4/P2KPP2/R1B2BNR,-43
1r2kb1r/pp2pppp/nq1pbnN1/2p5/P5Q1/N3P3/RPPP1PPP/2B1KB1R,-623
rnbqkb1r/1pppppp1/7n/p6p/8/1P4PN/P1PPPP1P/RNBQKB1R,11
rnbqk1nr/pp2bp1p/2p3p1/3Np3/4P3/7P/PPPPKPP1/RNBQ1B1R,212
r1bqkbnr/p1pppppp/2n5/8/1p1P4/NP2P2N/P1PB1PPP/R2QKB1R,-256
2bqkbnr/r2pp3/5p1p/ppp3p1/NPPnP1P1/8/P2PNP1P/R1BQKB1R,44
rnb1kb1r/pp2pppp/7B/2pp4/3P2P1/2P5/Pq2PP1P/RN1QKBNR,-316
r1bqkbnr/ppp1p2p/2n3p1/3p1p2/PP6/4P2N/2PP1PPP/RNBQKB1R,60
r1bqkbnr/pppp1pp1/2n5/4p1Np/2P2P2/N7/PP1PP1PP/R1BQKB1R,-214
1nbqkbnr/3ppppp/r7/pp6/2pP4/1PP1P3/P2KNPPP/RNBQ1B1R,-10
rn2kb1r/p1qppn1p/bp6/6p1/1P3pP1/2P4N/P2PPP1P/R1BQKB1R,-475
rnbqk1nr/pp1p1ppp/8/2p1p3/8/b3PP1P/PPPPN1P1/RNBQKBR1,-75
rnbqkbnr/1pp1ppp1/7p/p2p4/2B1P3/2N2N2/PPPP1PPP/R1BQK2R,-380
rnb1k1n1/2pqpp1r/p2p3b/1p3Ppp/PP1P4/R5PN/2PQP2P/1NB1KBR1,4
r1bqkbnr/p3p1p1/npp2p2/7p/3pP3/P1N3PN/1PPPBP1P/R1BQK2R,-16
rnbqkb1r/pppnpppp/8/3p4/5P1P/N7/PPPPPKP1/R1BQ1BNR,-234
rnbqkb1r/1p1ppppp/p1p2B2/4n3/8/NP3P1P/P1PPP1PR/R2QKBN1,334
rnbqkb1r/p1B1pppp/1p5n/3p4/2P5/3P4/PP2PPPP/RN1QKBNR,-287
r1bqkb2/p2p2pr/np3pPn/2p1pB1p/P4P2/8/RPPPP2P/1NBQK1NR,-273
rnbqkb1r/p2ppppn/1p6/Q1p4p/P2P4/8/1PP1PPPP/RNB1KBNR,-78
r1bqkb1r/p1p1pp1p/2n2nP1/1p1p2N1/1P5P/8/P1PPPKP1/RNBQ1B1R,-198
rnbq1br1/pppkpp2/3p1np1/7p/P1P1P3/R2P1Q2/1P3PPP/1NB1KBNR,-18
r2qkb1r/pppnp1pp/3Pb2n/5p2/8/PP4QP/2PP1PPR/RNB1KBN1,276
r1bqkb1r/1ppp1pp1/4p2p/p7/4n2P/N2n1RP1/PPPPPPB1/R1BQK1N1,457
rn2kb2/ppq2p2/2bppnpr/2p4P/PP1P4/2N5/2P1PP1P/1R1QKBNR,-581
rnb1kbnr/p2p1p1p/1pp2q2/2P1p1p1/7P/4PQ1N/PP1P1PP1/RNB1KB1R,-47
r1b1kbnr/pp1ppppp/1q6/2p1n3/2P4P/1Q2P1P1/PP1P1PN1/RNBK1B1R,-11
rnbqk1nr/p1p2p2/3pp3/1pb4P/6Q1/2P5/PP1PPP1P/RNBK1BNR,-30
rnbq1knr/ppppb2p/2Q2p2/4p1p1/4P3/2P5/PP1P1PPP/RNBK1BNR,-85
rnb1k1nr/1ppp1pp1/2q5/p3p2p/Q1P1P3/3B2P1/PP1PKP1P/RNB3NR,414
r1bqkb1r/p1ppp1pp/1pQ4n/5p2/2B1n2P/4P3/PP1P1PP1/RNB1K1NR,-691
rnb1kb1r/p3q1pp/1p1Qpp1n/2p5/P3p3/3P4/1PPNNPPP/R1B1KB1R,-12
r1bqkbnr/3ppppp/2n5/pp6/6PP/NPp1P2B/P1PP1P2/R1BQK1NR,201
r1bqkbnr/1ppppp1p/2n3p1/p1P5/P7/5P2/1P1PPKPP/RNBQ1BNR,-271
r1bqk2r/p2pp1b1/2n2ppn/1pp5/2P3Pp/PP1PP2N/3N1P1P/R1BQKB1R,-119
r1bqkbnr/2pnppp1/p7/1p1p3p/4P3/3B1Q1N/PPPP1PPP/RNB1K2R,-79
rnbqkb1r/pp1ppppp/8/2p5/P1P2P2/5Nn1/1P1PP1PP/RNBQKB1R,546
rnbqkb1r/2pp2pp/pp2p2n/5p2/6P1/4PN1P/PPPPBP2/RNBQK1R1,105
rnbqkb1r/pppp1p1p/4P1p1/7P/8/N5n1/PPPPP1P1/R1BQKBNR,45
rnbqkbnr/1pppp1p1/p4p2/7p/8/4PN2/PPPP1PPP/RNBQKB1R,52
rnbqkbnr/4pppp/1ppp4/p7/P5P1/1PN4P/2PPPPB1/R1BQK1NR,-20
rnb2bnr/p1kqpp2/3p2p1/2pP3p/1pP4P/1P6/PBQNPPP1/R3KBNR,503
r1bqk1nr/2pp2pp/2n1pp2/pp6/PbP1PPP1/N6P/1P1PB3/R1BQK1NR,-208
1r1qkbnr/2pppp1p/p7/1p2n1p1/2P1bPP1/N3PQ2/PP1P3P/1RB1KBNR,424
rnbqkb1r/3p1ppp/pp2pn2/2p5/Q1PP4/6P1/PP2PP1P/RNB1KBNR,20
rnbqkbnr/1p1pp1pp/5p2/p1p5/3N4/3P4/PPP1PPPP/RNBQKB1R,154
rnbqkbnr/1p1ppppp/2p5/p7/P3P3/7N/1PPP1PPP/RNBQKB1R,-61
r1bqkbn1/p1pp2pr/np5p/4pp2/3P4/5PKN/PPPNP1PP/R1BQ1B1R,51
rnbqkbnr/1p1ppppp/2p5/p7/1P6/N6P/P1PPPPP1/1RBQKBNR,-247
rn1qkb1r/1ppbnp2/p2p4/4p1pp/8/N1P1PP2/PP1P2PP/RQB1KBNR,-191
rnb1kbnr/ppqpp2p/2p2pp1/8/2P5/3P1N2/PP1QPPPP/RNB1KB1R,76
rnbqkbnr/1ppp4/4pp1p/p5p1/2N3P1/2PP3P/PP2PP2/R1BQKBNR,-48
r1bqknnr/1pp2pp1/4p3/p2p2bp/3P1P2/2NBPQP1/PPP2N1P/R1B1K2R,593
rnbqkbnr/pp1p2p1/4p3/2p2p1p/2P1P3/1Q3P1P/PP1P2P1/RNB1KBNR,-38
rnbqk1nr/pppp2pp/4pp2/8/Pb2P3/2N5/1PPP1PPP/R1BQKBNR,77
1nbqkbnr/rpppppp1/7p/p7/4P3/5P1N/PPPP2PP/RNBQKB1R,125
rnbqk1nr/1pppppb1/8/p5pP/1Q6/3P4/PP1NPP1P/R1B1KBNR,-673
r1bqkb1r/p1pppp1p/n5pn/1p6/8/2PP4/PPQKPPPP/RNB2BNR,-90
1nbqkbnr/1p1ppppp/r1p5/p7/1P3P1P/3P4/P1P1P1P1/RNBQKBNR,-190
r1bqkb1r/1ppppppp/4n2n/p7/8/P3PP2/RPPPQ1PP/1NB1KBNR,-34
rnb4r/pppk1ppp/4p3/5nq1/1bPp4/1P3KP1/PB1PP2P/RN1Q1BNR,-253
rnbqkbnr/pppppp2/8/6pp/4NP2/7P/PPPPP1P1/R1BQKBNR,-163
r1bqkb1r/pppp1ppp/2n4n/1N2p3/7P/P7/1PPPPPP1/R1BQKBNR,-220
rnbqkbnr/pp1pppp1/8/2p4p/8/PP1P4/2P1PPPP/RNBQKBNR,-64
r1b1kbnr/pp1ppp1p/n7/q1P3p1/P2P4/8/2P1PPPP/RNBQKBNR,300
rn1qkb1r/3ppppp/8/pppb4/1B1P4/PP4PP/2P1PP1R/RN1QKBN1,-211
r1bqkbnr/1ppppp1p/2n3p1/p7/5P2/1P4PN/P1PPP2P/RNBQKB1R,-84
r1bqkbnr/ppppp1pp/8/5p2/1n2P1P1/2P2N2/PP1P1P1P/RNBQKB1R,-77
r1bqkbnr/p1pp1ppp/2n5/1p2p3/6PP/5P1R/PPPPP3/RNBQKBN1,-241
rnb1kbnr/ppp1pp1p/6p1/3p4/P5q1/1PPPB3/4PPPP/RN1QKBNR,-17
1rBqkbnr/p1p1pp1p/b5p1/1pnp4/8/2PPPQP1/PP3P1P/RNB1K1NR,-657
rn1qkbnr/2pp1ppp/bp2p3/p7/6PP/P4P2/1PPPP2R/RNBQKBN1,-78
r1bq1bnr/p2k2pp/2npp2B/1p3p2/2pPPP2/3Q2PP/PPP5/RN2KBNR,-379
rnb1kbnr/3pp3/pq3p1p/1pp4P/4P1p1/2NP4/PPP1NPPB/R2QKB1R,334
r1bqkb1r/p1p1pppp/n2p1n2/1p6/4PP2/5K2/PPPP2PP/RNBQ1BNR,-1
rnb1kbnr/pp1pp2p/5p2/q1p3p1/2P5/P1N2N2/1P1PPPPP/R1BQKB1R,207
rnbqkbnr/p2pp2p/2p2p2/6p1/1p2P3/1P1B2PN/P1PP1P1P/RNBQK2R,9999
r1bqk1nr/pp1p2p1/n4p1p/P1p1p3/1b4P1/1QP2P2/RP1PP2P/1NBK1BNR,-137
r1b1kb1r/2q1p1pp/pp3n1n/2ppPp2/P5P1/3P1P1B/1PP1N2P/RNBQK2R,316
rnbqkbnr/p3pppp/3p4/1pp5/1P1PP3/P6N/1BP2PPP/RN1QKB1R,304
r1bqkbnr/1pp1pp1p/2np4/p5p1/P5P1/7N/1PPPPP1P/RNBQKB1R,-23
r1bqkbnr/pppp1p1p/n3p1p1/8/8/3P2P1/PPP1PP1P/RNBQKBNR,-5
rnbqkbnr/3ppp1p/pp6/5Q2/3p2Pp/4P3/PPPN1P2/R1B1KBNR,-231
r1bqkbnr/ppp2ppp/2n1p3/3p4/P7/NP6/2PPPPPP/R1BQKBNR,-58
r1bk2nr/pppp2bp/n4p2/4p1p1/P2PP3/1BP2q1P/1P2NPP1/RNBQK1R1,764
rnbqkb1r/pp1p2pp/2p4n/4pp2/1P4P1/P6P/2PPPP2/RNBQKBNR,-35
rnbqkb1r/p1p4p/1p1pppp1/PP3n2/8/3PPN2/2P2PPP/RNBQKB1R,81
rn1qkbnr/ppp2ppp/8/3ppb2/1P2P3/2N3P1/P1PPBP1P/R1BQK1NR,295
r2qk2r/ppp1npp1/n6p/3pp1P1/1P3B1P/b2PP2b/P1P2P2/RN1QKB1R,-558
rnb1qbnr/p2pp1pp/6k1/1pp5/3PPR1P/2P2p2/PP1Q1PP1/RNB1KBN1,9997
rn1qkbnr/pppb2pp/4pp2/8/4p2P/3P4/PPP2PPN/RNBQKBR1,-178
rnbqkb1r/pppp1p1p/4pnp1/8/2N5/5N2/PPPPPPPP/R1BQKBR1,-155
rnbqkbnr/p1p1pppp/1p6/3p2N1/5P2/8/PPPPP1PP/RNBQKB1R,-103
1r1qkb1r/ppp1pp1p/n3bn2/3p2p1/2P1P3/PP6/R1QP1P1P/1NB1KBNR,71
rnbqkb1r/ppppp1pp/8/1B3p2/4P1n1/7P/PPPP1PP1/RNBQK1NR,493
2b2qBr/rppkp1bp/n2p1p2/p5p1/P6P/6P1/RPPPPP2/1NBQK1NR,518
r1bqk2r/ppp4p/n5pn/3ppp2/1PP1PP1b/P4Q1N/3P2PP/RNB1KB1R,-143
rnbqkbr1/pp1ppppp/1np5/8/4P2P/PP1P4/2P1NPP1/RNBQKB1R,78
r1bqkb1r/ppp3pp/3ppp1n/4n3/PP5P/8/2PPPPPN/RNBQKBR1,-86
r1bqkb1r/pppppp1p/n5pn/8/6P1/5P1B/PPPPP2P/RNBQK1NR,-46
rnbqk1nr/1ppppp1p/p6b/6p1/P1P5/1P3N2/3PPPPP/RNBQKB1R,21
r1bqkbnr/ppp1p3/2n5/3p3p/3PPp1B/5P2/PPP2KPP/RNQ2BNR,-128
r2qkbnr/p2pp1pp/b1p2p2/np6/P5B1/2PP1PP1/1P2P2P/RNBQK1NR,65
rnbq1b1r/1pppkppp/4p2n/p6P/4PP2/3B4/PPPP2P1/RNBQK1NR,-20
rnbqkb1r/1ppp1ppp/p7/4p1N1/2PP4/8/PP2PPPn/RNBQKB1R,409
1nbqkbr1/2pppppp/1p6/6B1/p1BPP3/2PQ3n/PP4PP/RN2K1NR,746
rnbqkbnr/1p1pp3/5p1p/p1p3p1/8/1PN2P1P/PBPPP1P1/RQ2KBNR,77
rnbqkb1r/pppppp1p/5n2/6p1/1P6/N6P/P1PPPPP1/R1BQKBNR,-64
rnb1kbnr/3ppppp/ppp5/q7/6P1/N4N2/PPPPPPBP/R1BQK2R,176
r1bqk1nr/ppppbppp/2n5/4p3/2P2P2/2N5/PPQPP1PP/R1B1KBNR,-81
r1bqkb1r/ppppp2p/2n2p1n/1B4p1/8/NP2P3/PBPP1PPP/R2QK1NR,46
rn1qk2r/1ppbppbp/p7/3p2p1/1P6/N1PNn1P1/P2PPP1P/R1BQKB1R,-687
1rb1kb1r/pppqppp1/2np1n2/4P2p/N7/2P4P/PP1PKPPR/R1BQ1BN1,-292
r1bqkbnr/2ppp1p1/np1P3p/p4p2/6PP/8/PPP1PP2/RNBQKBNR,213
rnbqkbnr/6p1/1p1ppp1p/p1p5/P1PP4/1PN1P3/5PPP/R1BQKBNR,164
r1q1kbr1/ppp1pp1p/2n3Qn/1P1p2N1/2P3b1/P7/1B1PPPPP/RN2KB1R,-538
1nbqkb1r/rpp1p3/3p1ppn/pN5p/P4P2/1P5N/2PPP1PP/R1BQKB1R,430
rnbqkbnr/1p2ppp1/8/p1pp3p/5PP1/P2P4/1PP1P2P/RNBQKBNR,-241
rnbqk1nr/ppppp2p/5b2/5pp1/1PP5/7N/P2PPPPP/RNBQKBR1,20
r1bqkb1r/pppppp1p/6p1/3n4/1nP1P3/2N5/PPQPBPPP/RNB1K1R1,-768
rn1q1bnr/pppkp1pp/3pb3/5p1Q/PP2P3/5P2/2PP2PP/RNB1KBNR,-25
rnbqkb1r/ppppp1pp/5n2/5p2/6Q1/4P3/PPPP1PPP/RNB1KBNR,-648
rnbqkbnr/2pp1ppp/pp6/4p3/P5P1/8/1PPPPP1P/RNBQKBNR,-228
r1bqkbr1/p1pppppp/n4n2/1p6/8/3B2PP/PPPPPP2/RNBQK1NR,-38
r1bqkb1r/ppp1pp2/6pn/3pn2p/1P2B1P1/2N1P2P/P1PP1P2/R1BQK1NR,-541
r1bqkb1r/1pppn3/n3p1pp/p7/P1N1N1P1/5p2/1PPPPP1P/1RBQKB1R,9998
1nb1kbnr/1ppp1ppp/1r2p3/4B3/p7/3PP1PP/PP3P1R/RNQK1BN1,782
rnbqkb1r/p1pppppp/1p6/3P4/2P3n1/8/PP2PP1P/RNBQKBNR,-131
r1b1kbn1/pp1ppppr/n6p/1Ppq3P/6P1/2P5/P1QPPP2/RNBK1BNR,503
rnbq4/ppppkpp1/5n1r/Q3p2p/P2P1P1P/b3P3/2PB2P1/RN2KBNR,511
r1bqkbnr/ppppppp1/n6p/8/1P3P1P/8/P1PPP1P1/RNBQKBNR,-147
rnbqkbnr/pp1ppp1p/2p5/6p1/1PP5/7N/P2PPPPP/RNBQKB1R,-35
r1bqkbnr/1ppppppp/p1n2N2/8/8/8/PPPPPPPP/R1BQKBNR,-580
rn1qk1nr/pp1b1p1p/3b4/2ppP3/PPP5/6Pp/3QPP1R/RNBK1BN1,498
r1bqk2r/ppppppb1/n4n1p/6p1/P3PP2/6P1/1PPP2BP/RNBQK1NR,147
rnbqkb1r/pp1p1ppp/4p2n/2p5/4P3/6PN/PPPP1P1P/RNBQKB1R,71
rnbqkb1r/ppp1n1pp/3pp3/5pN1/1P6/6P1/P1PPPP1P/RNBQKB1R,19
r2k1bnr/pppqp1pp/n3bp2/8/1P1p2PP/2P2P2/P2PPN2/RNBQKBR1,89
rnbqkbnr/ppppp1p1/5p1p/1N6/8/7P/PPPPPPP1/R1BQKBNR,92
1nbqkbnr/rpp1pppp/p2p4/8/8/2P1PN2/PP1P1PPP/RNBQKB1R,92
rnbq1bnr/1ppp1k2/5p2/p3p1pp/2P2P2/N5P1/PP1PPK1P/1RBQ1BNR,-40
rnbqkbr1/1p1ppppp/p1p2n2/8/2PN4/6P1/PP1PPP1P/RNBQKB1R,72
rnbqkbnr/pppp4/7p/4pp2/P1P3p1/N3PQ2/1P1P1PPP/R1B1KBNR,-632
rn1qkbnr/p1p1pppp/3pb3/1P4N1/8/8/1PPPPPPP/RNBQKB1R,275
1nb1kbnr/rp1ppppp/p1p5/1q4P1/8/P7/1PPPPP1P/R1BQKBNR,-305
rnbqkbnr/p1pp1pp1/1p6/4p2p/1P6/B1PP4/P3PPPP/RN1QKBNR,-123
r1bq1rk1/p1p3pp/np1pp2n/2P2p1P/P7/2P2N2/2NPPPP1/1RBQKB1R,275
rnbqkb1r/ppppnppp/4p3/8/4P3/1P5N/P1PP1PPP/RNBQKB1R,-55
rnbqk1nr/p1p2ppp/1p2p3/3p4/8/bP1P3N/P1P1PPPP/RNBQKBR1,529
r1bqkb1r/p1pppppp/1pn5/7n/3P1P2/P5P1/1PP1P2P/RNBQKBNR,195
rnbq1bnr/ppp1k1p1/3pp3/5p1p/P6P/1P1PK3/2P1PPP1/RNBQ1BNR,2
r1bqkb1r/2pp1N1p/ppn1pnp1/8/1P6/N4P1P/P1PPP1P1/R1BQKB1R,-500
rnbqkb1r/p1pppp1p/5n2/1p3Pp1/8/1P5N/P1PPP1PP/RNBQKB1R,-62
r1bqkbnr/p1p3p1/2np3p/4pp2/2PP4/1PN4N/P3PPPP/R1BQKB1R,225
rnbqkbnr/p1p1ppp1/8/1p5p/P3p3/6PP/1PPPPP2/R1BQKBNR,-487
r1bqkbnr/pppppp2/n5pp/8/8/NP6/PBPPPPPP/R1Q1KBNR,76
r1bqkbnr/p1pnpppp/3p4/1p6/P7/N7/RPPPPPPP/2BQKBNR,133
rnb1kbnr/1ppp1ppp/8/p1P1p3/P7/8/RP1PPqPP/1NBQKBNR,542
1rb1kbnr/ppqppppp/n1p5/8/3P3P/5P2/PPP1P1P1/RNBQKBNR,64
rnb1kb1r/pppp1p1p/5q1n/4p1p1/5P2/4P1P1/PPPP3P/RNBQKBNR,98
rnbqk1nr/ppp2p1p/8/3pp3/4N1P1/b2PPN2/1PP2PP1/R1BQKBR1,239
r1bqkb1r/p1pnp3/3p1np1/5p1p/P7/2N3P1/1PPPPP1P/R1BQKBNR,32
rnbqkbnr/1pppppp1/p7/7p/4P3/7N/PPPPKPPP/RNBQ1B1R,-185
r1bqkbnr/ppppp1p1/2n4p/8/2PP1pP1/8/PP1QPP1P/RNB1KBNR,-14
rnb1k1nr/1p3p1p/p1p2q2/2bpp1p1/3P3P/N1P1B1P1/PP2PP2/R2QKBNR,517
1rbqkb1r/pppppppp/7n/nP6/5P2/7N/P1PPP1PP/RNBQKB1R,-93
rnbqkbnr/1p1ppppp/2p5/p7/1P4P1/2P5/P2PPP1P/RNBQKBNR,-248
r1bqkbn1/2pnpppr/3p4/pp5p/1P5P/P1P2P2/2QPP1PR/RNB1KBN1,-92
rnb1kb1r/pp3ppp/1q3n2/2ppp3/8/1QP4N/PP1PPPPP/RNB1KB1R,-108
rnb1k1nr/1pp2ppp/p3pq2/3p2B1/3P4/1P3N2/P1P1PPPP/RNQ1KBR1,582
